iter	Passed	Remaining
534	961	836
535	963	834
536	965	832
537	966	830
538	968	828
539	970	826
540	973	825
541	975	824
542	977	822
543	978	820
544	980	818
545	982	817
546	984	815
547	987	814
548	989	813
549	991	811
550	993	809
551	995	807
552	996	805
553	999	804
554	1000	802
555	1003	801
556	1005	800
557	1007	798
558	1009	796
559	1011	794
560	1013	792
561	1014	790
562	1016	788
563	1019	787
564	1021	786
565	1023	784
566	1025	782
567	1027	781
568	1029	779
569	1030	777
570	1031	775
571	1035	774
572	1037	773
573	1038	770
574	1040	769
575	1042	767
576	1043	765
577	1045	763
578	1046	761
579	1048	759
580	1050	757
581	1052	755
582	1054	754
583	1056	752
584	1057	750
585	1058	748
586	1060	746
587	1062	744
588	1063	742
589	1066	741
590	1068	739
591	1070	737
592	1071	735
593	1072	733
594	1075	732
595	1077	730
596	1078	728
597	1080	726
598	1083	725
599	1084	723
600	1087	721
601	1088	719
602	1090	717
603	1091	715
604	1093	713
605	1094	711
606	1097	710
607	1099	708
608	1100	706
609	1102	704
610	1103	702
611	1106	701
612	1107	699
613	1109	697
614	1110	695
615	1113	694
616	1115	692
617	1117	691
618	1119	689
619	1122	687
620	1123	685
621	1125	683
622	1126	681
623	1129	680
624	1130	678
625	1132	676
626	1133	674
627	1134	672
628	1136	670
629	1137	668
630	1139	666
631	1140	664
632	1141	661
633	1144	660
634	1145	658
635	1147	656
636	1149	654
637	1150	652
638	1152	650
639	1153	648
640	1155	647
641	1156	645
642	1158	643
643	1161	641
644	1162	639
645	1163	637
646	1165	635
647	1166	633
648	1167	631
649	1169	629
650	1170	627
651	1172	625
652	1173	623
653	1175	622
654	1177	620
655	1179	618
656	1180	616
657	1182	614
658	1183	612
659	1185	610
660	1186	608
661	1187	606
662	1189	604
663	1191	602
664	1193	601
665	1194	599
666	1196	597
667	1197	595
668	1198	593
669	1200	591
670	1201	589
671	1202	587
672	1204	585
673	1206	583
674	1208	581
675	1209	579
676	1211	577
677	1212	575
678	1214	573
679	1215	571
680	1216	570
681	1218	568
682	1219	566
683	1221	564
684	1223	562
685	1225	560
686	1226	558
687	1227	556
688	1229	554
689	1230	552
690	1231	550
691	1233	548
692	1234	546
693	1235	544
694	1237	543
695	1239	541
696	1241	539
697	1242	537
698	1243	535
699	1245	533
700	1246	531
701	1247	529
702	1249	527
703	1250	525
704	1252	523
705	1254	522
706	1256	520
707	1257	518
708	1258	516
709	1260	514
710	1261	512
711	1263	510
712	1264	508
713	1265	507
714	1267	505
715	1268	503
716	1271	501
717	1272	499
718	1274	498
719	1275	496
720	1277	494
721	1278	492
722	1280	490
723	1281	488
724	1282	486
725	1284	484
726	1286	483
727	1288	481
728	1289	479
729	1290	477
730	1292	475
731	1293	473
732	1295	472
733	1297	470
734	1298	468
735	1299	466
736	1301	464
737	1303	462
738	1305	461
739	1306	459
740	1308	457
741	1310	455
742	1311	453
743	1313	451
744	1314	449
745	1316	448
746	1318	446
747	1320	444
748	1321	442
749	1322	440
750	1324	439
751	1326	437
752	1327	435
753	1328	433
754	1330	431
755	1331	429
756	1333	428
757	1335	426
758	1337	424
759	1338	422
760	1339	420
761	1341	419
762	1343	417
763	1344	415
764	1345	413
765	1347	411
766	1349	409
767	1351	408
768	1353	406
769	1354	404
770	1356	402
771	1357	401
772	1359	399
773	1360	397
774	1362	395
775	1363	393
776	1365	392
777	1367	390
778	1369	388
779	1371	386
780	1373	385
781	1374	383
782	1375	381
783	1377	379
784	1378	377
785	1381	376
786	1383	374
787	1384	372
788	1386	370
789	1388	369
790	1390	367
791	1391	365
792	1392	363
793	1394	361
794	1397	360
795	1399	358
796	1401	356
797	1404	355
798	1406	353
799	1408	352
800	1409	350
801	1411	348
802	1414	346
803	1416	345
804	1418	343
805	1419	341
806	1420	339
807	1422	337
808	1423	336
809	1425	334
810	1426	332
811	1428	330
812	1431	329
813	1432	327
814	1434	325
815	1436	323
816	1438	322
817	1439	320
818	1441	318
819	1442	316
820	1445	315
821	1447	313
822	1449	311
823	1451	310
824	1452	308
825	1454	306
826	1455	304
827	1457	302
828	1460	301
829	1462	299
830	1464	297
831	1466	296
832	1467	294
833	1469	292
834	1470	290
835	1472	288
836	1473	287
837	1476	285
838	1478	283
839	1480	281
840	1482	280
841	1484	278
842	1485	276
843	1486	274
844	1488	273
845	1490	271
846	1492	269
847	1494	267
848	1497	266
849	1499	264
850	1500	262
851	1502	260
852	1504	259
853	1505	257
854	1508	255
855	1510	254
856	1512	252
857	1514	250
858	1516	248
859	1517	247
860	1519	245
861	1520	243
862	1523	241
863	1526	240
864	1527	238
865	1529	236
866	1531	234
867	1533	233
868	1534	231
869	1537	229
870	1540	228
871	1542	226
872	1543	224
873	1545	222
874	1547	221
875	1549	219
876	1551	217
877	1552	215
878	1554	214
879	1557	212
880	1559	210
881	1560	208
882	1562	207
883	1564	205
884	1565	203
885	1566	201
886	1568	199
887	1571	198
888	1573	196
889	1574	194
890	1576	192
891	1578	191
892	1580	189
893	1582	187
894	1583	185
895	1585	184
896	1588	182
897	1590	180
898	1591	178
899	1593	177
900	1595	175
901	1597	173
902	1598	171
903	1599	169
904	1602	168
905	1605	166
906	1607	164
907	1608	163
908	1610	161
909	1611	159
910	1613	157
911	1614	155
912	1616	154
913	1619	152
914	1621	150
915	1623	148
916	1624	147
917	1626	145
918	1628	143
919	1630	141
920	1631	139
921	1634	138
922	1637	136
923	1639	134
924	1642	133
925	1644	131
926	1645	129
927	1646	127
928	1649	126
929	1652	124
930	1653	122
931	1656	120
932	1657	119
933	1658	117
934	1660	115
935	1662	113
936	1665	111
937	1667	110
938	1669	108
939	1671	106
940	1672	104
941	1674	103
942	1676	101
943	1678	99
944	1680	97
945	1682	96
946	1684	94
947	1686	92
948	1688	90
949	1690	88
950	1691	87
951	1693	85
952	1696	83
953	1698	81
954	1700	80
955	1702	78
956	1703	76
957	1705	74
958	1706	72
959	1708	71
960	1711	69
961	1713	67
962	1715	65
963	1716	64
964	1718	62
965	1719	60
966	1720	58
967	1723	56
968	1724	55
969	1726	53
970	1729	51
971	1731	49
972	1732	48
973	1734	46
974	1735	44
975	1737	42
976	1739	40
977	1740	39
978	1743	37
979	1746	35
980	1748	33
981	1750	32
982	1751	30
983	1752	28
984	1754	26
985	1756	24
986	1757	23
987	1760	21
988	1762	19
989	1764	17
990	1765	16
991	1767	14
992	1769	12
993	1770	10
994	1772	8
995	1773	7
996	1777	5
997	1778	3
998	1780	1
999	1783	0
