iter	Logloss
0	0.6889884113
1	0.6850558764
2	0.680864517
3	0.6774521919
4	0.6736315375
5	0.6701483531
6	0.6667403652
7	0.6632685204
8	0.6600307308
9	0.6550771635
10	0.6515077565
11	0.6481408942
12	0.6442792187
13	0.6409108933
14	0.637452008
15	0.6342576954
16	0.630535596
17	0.6270550244
18	0.6243744419
19	0.6211419301
20	0.6182607363
21	0.6152848544
22	0.6114475303
23	0.6086950433
24	0.6058211653
25	0.6029095584
26	0.5991482669
27	0.5959708331
28	0.5933782499
29	0.5910727096
30	0.5883352201
31	0.5855352323
32	0.5829639696
33	0.5799398553
34	0.5767221843
35	0.574155102
36	0.5715127187
37	0.56903489
38	0.5662324984
39	0.5631765601
40	0.5607882461
41	0.5584756512
42	0.5563636675
43	0.5540894809
44	0.5519546613
45	0.5494301156
46	0.5468823159
47	0.5446984278
48	0.5425276038
49	0.5409148752
50	0.5388372761
51	0.5373402948
52	0.5350363744
53	0.5330836675
54	0.5310566001
55	0.528851078
56	0.5268445995
57	0.5246557993
58	0.5230798591
59	0.5208253207
60	0.5189883088
61	0.5169623911
62	0.5148869867
63	0.5128553208
64	0.5104554059
65	0.5092603083
66	0.506814408
67	0.5050871862
68	0.502814306
69	0.5008055805
70	0.4988621751
71	0.4973141396
72	0.4952486117
73	0.4934045452
74	0.4916042171
75	0.4900142722
76	0.4881310659
77	0.4861851522
78	0.484929333
79	0.4832772555
80	0.4817052867
81	0.4802788512
82	0.4790884567
83	0.4770839116
84	0.4755726122
85	0.4739983964
86	0.472106411
87	0.4706263085
88	0.4693931162
89	0.4680287609
90	0.4665016801
91	0.4644492162
92	0.4632402707
93	0.4617767334
94	0.4600258396
95	0.4587992838
96	0.4569291938
97	0.4550421728
98	0.453293735
99	0.4523627921
100	0.4507264438
101	0.4490297918
102	0.4472973967
103	0.4460876674
104	0.4451405773
105	0.4439597456
106	0.4424614057
107	0.4411328982
108	0.4398776538
109	0.4384070619
110	0.4368956056
111	0.4351890512
112	0.433668633
113	0.4322548435
114	0.4311180376
115	0.4300590149
116	0.429058911
117	0.4281013959
118	0.4269119158
119	0.4258979118
120	0.4243634106
121	0.4231844602
122	0.421815428
123	0.4203792206
124	0.4186345714
125	0.4174639036
126	0.4155717353
127	0.4147445992
128	0.4135683922
129	0.412266274
130	0.4115152228
131	0.4104605113
132	0.4092153784
133	0.4083542497
134	0.4076450296
135	0.4066632676
136	0.4055464758
137	0.4044905623
138	0.4028465062
139	0.4019600855
140	0.4008295503
141	0.3999166881
142	0.3991032431
143	0.3983427074
144	0.397586509
145	0.396528845
146	0.3948666298
147	0.3941575142
148	0.3929470271
149	0.3915617695
150	0.390720289
151	0.3891887926
152	0.3882380969
153	0.3872227342
154	0.3858897849
155	0.38492741
156	0.3841995344
157	0.383477825
158	0.3824663293
159	0.3813332858
160	0.380388495
161	0.3793862487
162	0.3784171327
163	0.3777123281
164	0.3770782784
165	0.3763496712
166	0.3754831863
167	0.3745582267
168	0.37405129
169	0.3727856466
170	0.371757246
171	0.3706053904
172	0.3698028146
173	0.3690120227
174	0.368172946
175	0.3669026257
176	0.3662344528
177	0.3653250394
178	0.3648346679
179	0.3641335997
180	0.363273098
181	0.3625330206
182	0.3619108853
183	0.3610602078
184	0.3602714539
185	0.3595235903
186	0.359042442
187	0.3582941604
188	0.3574764565
189	0.3568762688
190	0.3557948282
191	0.3546522741
192	0.3540316281
193	0.3531198371
194	0.3524290111
195	0.3515335501
196	0.3506854854
197	0.3502188643
198	0.3494974424
199	0.3486759761
200	0.3478174863
201	0.3473325755
202	0.3465575127
203	0.3457844355
204	0.3450323654
205	0.3438645716
206	0.3431763584
207	0.3426545287
208	0.3420744595
209	0.3415152145
210	0.3406293164
211	0.3397338292
212	0.3393408893
213	0.3387072315
214	0.3376648785
215	0.3367175795
216	0.3361020023
217	0.3356163861
218	0.3349988754
219	0.3342775319
220	0.3335215425
221	0.3330406816
222	0.332466021
223	0.3320612711
224	0.3313993428
225	0.3307245594
226	0.329941632
227	0.3293996837
228	0.3287915792
229	0.3279714192
230	0.3274149176
231	0.3267477898
232	0.3260513985
233	0.3252135499
234	0.3246570744
235	0.3237191292
236	0.3233091276
237	0.3228808103
238	0.3224421462
239	0.3216953278
240	0.3212475189
241	0.3208244533
242	0.3201322686
243	0.3197226851
244	0.319341947
245	0.3187784953
246	0.3182212621
247	0.317591837
248	0.3171411802
249	0.3169735425
250	0.3164154471
251	0.3153422107
252	0.3144707876
253	0.3138897256
254	0.3131462515
255	0.312737086
256	0.3120282317
257	0.3114800127
258	0.3108511102
259	0.3102253431
260	0.3097342138
261	0.3091639166
262	0.3086264362
263	0.3081794634
264	0.3077210988
265	0.3072753802
266	0.3066078343
267	0.3059722169
268	0.3055840584
269	0.3049566452
270	0.3045056487
